species,pathways,genes,enzymes,metabolites,conversions,catalysis,publications
Populus tremuloides,1,1,1,2,1,1,23
Canavalia lineata,1,0,3,3,2,2,5
Ammi majus,1,1,4,6,5,5,11
Mimosa pudica,1,1,1,2,1,1,2
Piper nigrum,1,0,1,2,1,1,3
Gossypium barbadense,1,0,1,0,0,0,12
Momordica charantia,1,1,1,2,1,1,2
Trichosanthes kirilowii,1,1,1,2,1,1,2
Tagetes erecta,1,0,1,2,1,1,25
Silene latifolia subsp. alba,1,0,2,3,2,2,8
Carica papaya,1,0,0,0,0,0,9
Toxicodendron vernicifluum,1,1,3,3,2,6,3
Impatiens balsamina,1,1,1,2,1,1,2
Cestrum elegans,1,0,1,2,1,1,2
Lathyrus tingitanus,1,0,1,2,1,1,2
Hyoscyamus muticus,1,2,2,4,3,3,7
Dalbergia nigrescens,1,1,1,4,2,2,5
Lolium multiflorum,1,0,0,0,0,0,2
Sophora flavescens,1,2,4,4,3,4,8
