"species","pathways","genes","enzymes","metabolites","conversions","interactions","publications"
"Senecio vernalis","1","3","3","4","2","9","4"
"Helicobacter pylori","1","2","2","13","3","19","7"
"Magnolia","1","2","2","3","2","6","3"
"Allium nutans","1","2","3","17","14","25","17"
"Serratia marcescens","1","3","3","10","11","23","18"
"Tagetes patula","1","51","59","32","27","174","25"
"Medicago truncatula","1","2","2","16","25","41","13"
"Ulva intestinalis","1","1","1","16","11","19","8"
"Allium ampeloprasum","1","2","3","17","14","25","17"
"Allium altyncolicum","1","2","3","17","14","25","17"
"Thunbergia alata","1","1","1","5","3","10","1"
"Tetraselmis","1","1","1","16","11","19","8"
"Allium victorialis","1","2","3","17","14","25","17"
"Thermococcus kodakarensis","1","3","4","7","5","14","9"
"Caenorhabditis elegans","1","2","2","12","11","23","10"
"Vibrio cholerae O1","1","3","3","10","11","23","18"
"Barnadesia spinosa","1","13","15","15","27","84","12"
"Ulva lactuca","1","1","1","16","11","19","8"
"Prunus mume","1","5","5","15","22","43","6"
"Senecio vulgaris","1","3","3","4","2","9","4"
"Magnolia grandiflora","1","2","2","3","2","6","3"
"Crepis alpina","1","1","1","5","3","8","1"
"Mentha aquatica","1","12","16","12","4","41","18"
"Allium fistulosum","1","2","3","17","14","25","17"
"Triticum spelta","1","3","9","21","28","108","17"
"Allium ursinum","1","2","3","17","14","25","17"
"Capsicum baccatum","1","18","22","11","14","65","21"
"Eukaryota","1","3","4","7","5","14","9"
"Picea glauca","1","10","11","11","4","32","10"
"Arabidopsis","1","6","6","6","3","17","13"
"Physaria kathryn","1","1","1","9","9","17","6"
"Lunaria annua","1","1","1","9","9","17","6"
"Nitrosopumilus maritimus","1","2","3","27","36","57","9"
"Rudbeckia hirta","1","51","59","32","27","174","25"
"Allium ochotense","1","2","3","17","14","25","17"
"Physaria fendleri","1","1","1","9","9","17","6"
"Tanacetum parthenium","1","2","2","6","9","20","6"
"Vibrio cholerae non-O1","1","3","3","10","11","23","18"
"Sesamum alatum","1","5","5","14","15","34","10"
"Saccharopolyspora spinosa","1","2","2","12","11","23","10"
"Trifolium incarnatum","1","0","2","16","10","23","5"
"Piper nigrum","1","0","1","12","9","15","3"
"Psilotum nudum","1","0","7","15","12","27","16"
"Citrullus lanatus","1","0","2","14","10","26","1"
"Ophiorrhiza pumila","1","0","0","10","9","13","5"
"Coffea abeokutae","1","0","0","7","6","8","3"
"Ophiorrhiza japonica","1","0","0","10","9","13","5"
"Aloe ferox","1","0","0","14","15","22","15"
"Nothapodytes nimmoniana","1","0","0","10","9","13","5"
"Coffea liberica","1","0","0","7","6","8","3"
"Camptotheca","1","0","0","10","9","13","5"
"Camptotheca acuminata","1","0","0","10","9","13","5"
"Xanthophyllomyces dendrorhous","1","3","3","3","2","10","16"
"Panicum virgatum","1","3","3","3","2","10","16"
"Croton sublyratus","1","11","14","11","7","40","19"
"Hordeum lechleri","1","9","9","13","17","44","18"
"Crambe hispanica","1","11","13","19","16","59","14"
"Cymbopogon martinii","1","2","3","7","5","12","9"
"Lamium galeobdolon","1","9","9","13","17","44","18"
"Neptunia","1","1","1","15","16","32","18"
"Peganum harmala","1","3","3","14","11","25","4"
"Ginkgo biloba","1","8","12","11","4","37","11"
"Chlorella sp. (Roon 68)","1","2","6","11","9","26","11"
"Cucurbita pepo medullosa","1","6","14","17","10","44","18"
"Ostreococcus sp. lucimarinus","1","3","3","6","6","16","8"
"Syntrophotalea acetylenica","1","2","2","7","5","12","11"
"Carica papaya","1","3","3","3","2","10","16"
"Lygodium circinatum","1","2","2","10","8","20","7"
"Coptis teeta","1","10","11","16","11","47","13"
"Methanocaldococcus jannaschii","1","6","7","19","21","46","13"
"Chrysanthemum x morifolium","1","4","4","8","4","18","4"
"Citrus junos","1","15","15","6","6","40","23"
"Citrus x clementina","1","29","34","32","38","130","42"
"Saxifraga stolonifera","1","1","1","8","5","9","12"
"Scutellaria viscidula","1","1","4","14","11","23","12"
"Citrus x microcarpa","1","3","3","4","4","11","3"
"Methanosarcina thermophila","1","2","2","7","5","12","11"
"Dahlia pinnata","1","4","4","8","4","18","4"
"Avena","1","6","6","10","6","21","11"
"Micrococcus luteus","1","11","12","4","2","27","13"
"Halobacterium salinarum","1","1","1","8","8","15","6"
"Lemna minor","1","2","6","11","9","26","11"
"Betula","1","2","2","6","6","12","4"
"Coniferophyta","1","8","9","13","18","47","21"
"Cupressus","1","1","1","4","4","7","3"
"Schizonepeta tenuifolia","1","5","8","14","8","29","10"
"Syzygium aromaticum","1","17","17","5","6","52","18"
"Cyperus iria","1","1","2","17","16","27","18"
"Selaginella lepidophylla","1","4","5","8","5","17","20"
"Perilla citriodora","1","8","7","11","6","26","12"
"Betula pubescens","1","2","2","6","6","12","4"
"Toxicodendron vernicifluum","1","1","3","7","5","15","3"
"Plasmodium falciparum","1","6","6","26","24","47","30"
"Zea luxurians","1","17","17","5","6","52","18"
"Aquilaria crassna","1","10","10","4","3","32","14"
"Chelidonium majus","1","10","11","16","11","47","13"
"Ajuga reptans","1","1","1","6","6","14","5"
"Rauvolfia serpentina","1","3","11","41","66","119","12"
"Spirodela polyrhiza","1","9","10","15","19","50","15"
"Plantago major","1","14","19","37","25","90","18"
"Consolida orientalis","1","9","9","13","17","44","18"
